typeof,name,address,comm,longitude,latitude,location
Library,Bowness Library,6532 BOWNESS RD NW,BOW,-114.1830276,51.08731948,"(51.087319476786774, -114.18302758028041)"
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC,-114.0611237,51.0447061,"(51.04470610101934, -114.06112369577545)"
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA,-114.0983343,51.04417435,"(51.04417435024193, -114.09833433626284)"
Attraction,Inglewood Bird Sanctuary,2425 9 AV SE,ING,-114.0087424,51.03009579,"(51.030095793296894, -114.0087423751395)"
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN,-114.0639146,51.11218619,"(51.11218619333126, -114.06391459432675)"
Attraction,Rocky Mountaineer Rail Tours,115 9 AV SW,DNC,-114.0624502,51.04408707,"(51.044087065157676, -114.06245018496966)"
Community Centre,Windsor Park Community Centre,5304 6 ST SW,WND,-114.0785467,51.00640371,"(51.00640371439741, -114.07854671214409)"
PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU,-114.1065071,51.06532159,"(51.06532159267874, -114.10650709115143)"
Attraction,Fish Creek Provincial Park (Bow Valley Ranch),15979 Bow Bottom TR SE,FPK,-114.0151076,50.90933858,"(50.909338581108344, -114.01510755024893)"
Community Centre,Tuscany Community Centre,212 Tuscany Way NW,TUS,-114.2456446,51.12459038,"(51.1245903809456, -114.24564461586554)"
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM,-114.1120604,50.99811739,"(50.99811739400991, -114.11206037488374)"
Social Dev Ctr,Bowmont,5000 BOWNESS RD NW,MON,-114.1649551,51.07552511,"(51.075525108644335, -114.16495514895213)"
Social Dev Ctr,South Area,502 HERITAGE DR SW,KIN,-114.0743509,50.98313705,"(50.98313705070583, -114.07435086091301)"
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK,-114.0662411,51.0853217,"(51.08532170060153, -114.06624106050928)"
Library,Country Hills Library,11950 Country Village Link NE,CHV,-114.0647513,51.15693061,"(51.156930605182936, -114.0647513142184)"
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR,-114.1492338,51.0919828,"(51.091982801745985, -114.14923384882196)"
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI,-114.05869,50.98251763,"(50.98251763288699, -114.05868999355175)"
